startValue,endValue,quantity,gids
4180000,4189999,0,[]
4190000,4199999,0,[]
4200000,4209999,0,[]
4210000,4219999,0,[]
4220000,4229999,0,[]
4230000,4239999,0,[]
4240000,4249999,0,[]
4250000,4259999,0,[]
4260000,4269999,0,[]
4270000,4279999,0,[]
4280000,4289999,0,[]
4290000,4299999,0,[]
4300000,4309999,0,[]
4310000,4319999,0,[]
4320000,4329999,0,[]
4330000,4339999,0,[]
4340000,4349999,0,[]
4350000,4359999,0,[]
4360000,4369999,0,[]
4370000,4379999,0,[]
4380000,4389999,0,[]
4390000,4399999,0,[]
4400000,4409999,0,[]
4410000,4419999,0,[]
4420000,4429999,0,[]
4430000,4439999,0,[]
4440000,4449999,0,[]
4450000,4459999,0,[]
4460000,4469999,0,[]
4470000,4479999,0,[]
4480000,4489999,0,[]
4490000,4499999,0,[]
4500000,4509999,0,[]
4510000,4519999,0,[]
4520000,4529999,0,[]
4530000,4539999,0,[]
4540000,4549999,0,[]
4550000,4559999,0,[]
4560000,4569999,0,[]
4570000,4579999,0,[]
4580000,4589999,0,[]
4590000,4599999,0,[]
4600000,4609999,0,[]
4610000,4619999,0,[]
4620000,4629999,0,[]
4630000,4639999,0,[]
4640000,4649999,0,[]
4650000,4659999,0,[]
4660000,4669999,0,[]
4670000,4679999,0,[]
4680000,4689999,0,[]
4690000,4699999,0,[]
4700000,4709999,0,[]
4710000,4719999,0,[]
4720000,4729999,0,[]
4730000,4739999,0,[]
4740000,4749999,0,[]
4750000,4759999,0,[]
4760000,4769999,0,[]
4770000,4779999,0,[]
4780000,4789999,0,[]
4790000,4799999,0,[]
4800000,4809999,0,[]
4810000,4819999,0,[]
4820000,4829999,0,[]
4830000,4839999,0,[]
4840000,4849999,0,[]
4850000,4859999,0,[]
4860000,4869999,0,[]
4870000,4879999,0,[]
4880000,4889999,0,[]
4890000,4899999,0,[]
4900000,4909999,0,[]
4910000,4919999,0,[]
4920000,4929999,0,[]
4930000,4939999,0,[]
4940000,4949999,0,[]
4950000,4959999,0,[]
4960000,4969999,0,[]
4970000,4979999,0,[]
4980000,4989999,0,[]
4990000,4999999,0,[]
5000000,5009999,0,[]
5010000,5019999,0,[]
5020000,5029999,0,[]
5030000,5039999,0,[]
5040000,5049999,0,[]
5050000,5059999,0,[]
5060000,5069999,0,[]
5070000,5079999,0,[]
5080000,5089999,0,[]
5090000,5099999,0,[]
5100000,5109999,0,[]
5110000,5119999,0,[]
5120000,5129999,0,[]
5130000,5139999,0,[]
5140000,5149999,0,[]
5150000,5159999,0,[]
5160000,5169999,0,[]
5170000,5179999,0,[]
5180000,5189999,0,[]
5190000,5199999,1,"['17031', 5194675.0, 'Cook County, Illinois']"
5200000,5209999,0,[]
5210000,5219999,0,[]
5220000,5229999,0,[]
5230000,5239999,0,[]
5240000,5249999,0,[]
5250000,5259999,0,[]
5260000,5269999,0,[]
5270000,5279999,0,[]
5280000,5289999,0,[]
5290000,5299999,0,[]
5300000,5309999,0,[]
5310000,5319999,0,[]
5320000,5329999,0,[]
5330000,5339999,0,[]
5340000,5349999,0,[]
5350000,5359999,0,[]
5360000,5369999,0,[]
5370000,5379999,0,[]
5380000,5389999,0,[]
5390000,5399999,0,[]
5400000,5409999,0,[]
5410000,5419999,0,[]
5420000,5429999,0,[]
5430000,5439999,0,[]
5440000,5449999,0,[]
5450000,5459999,0,[]
5460000,5469999,0,[]
5470000,5479999,0,[]
5480000,5489999,0,[]
5490000,5499999,0,[]
5500000,5509999,0,[]
5510000,5519999,0,[]
5520000,5529999,0,[]
5530000,5539999,0,[]
5540000,5549999,0,[]
5550000,5559999,0,[]
5560000,5569999,0,[]
5570000,5579999,0,[]
5580000,5589999,0,[]
5590000,5599999,0,[]
5600000,5609999,0,[]
